Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
46003,Elmwood--Transcona,Ian MacIntyre,10512,22.4,Colin Reynolds,19463,41.6,Leila Dance,16138,34.5,Nicolas Geddert,321,0.7,N/A,N/A,N/A,Colin Reynolds,Conservative
59012,Esquimalt--Saanich--Sooke,Stephanie McLean,36181,49.3,Grant Cool,21082,28.7,Maja Tait,13666,18.6,Ben Homer-Dixon,1959,2.7,N/A,N/A,N/A,Stephanie McLean,Liberal
35028,Essex,Chris Sutton,29389,36.7,Chris Lewis,46123,57.5,Lori Wightman,3826,4.8,N/A,N/A,N/A,N/A,N/A,N/A,Chris Lewis,Conservative
35029,Etobicoke Centre,Yvan Baker,36186,53.6,Ted Opitz,29713,44,Ji Won Jung,1611,2.4,N/A,N/A,N/A,N/A,N/A,N/A,Yvan Baker,Liberal
35031,Etobicoke North,John Zerucelli,22270,52.6,Natalie Weed,17359,41,Benjamin Abis,1354,3.2,Sarun Balaranjan,394,0.9,N/A,N/A,N/A,John Zerucelli,Liberal
35030,Etobicoke--Lakeshore,James Maloney,37512,57.4,Bernard Trottier,25348,38.8,Cory Wagar,1665,2.5,N/A,N/A,N/A,N/A,N/A,N/A,James Maloney,Liberal
35032,Flamborough--Glanbrook--Brant North,Chuck Phillips,28915,43.2,Dan Muys,35246,52.7,Peter Werhun,1630,2.4,Anita Payne,594,0.9,N/A,N/A,N/A,Dan Muys,Conservative
59013,Fleetwood--Port Kells,Gurbux Saini,23250,47.9,Sukh Pandher,21439,44.2,Shannon Permal,2885,5.9,Murali Krishnan,460,0.9,N/A,N/A,N/A,Gurbux Saini,Liberal
48024,Foothills,John Bruinsma,13706,19.1,John Barlow,54874,76.3,Kaitte Aurora,1923,2.7,Emma Hoberg,589,0.8,N/A,N/A,N/A,John Barlow,Conservative
48025,Fort McMurray--Cold Lake,Kaitlyn Staines,7193,14.5,Laila Goodridge,39649,80.2,You-Ju Choi,1337,2.7,Brian Deheer,290,0.6,N/A,N/A,N/A,Laila Goodridge,Conservative
