Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
59034,Surrey Newton,Sukh Dhaliwal,20263,49.5,Harjit Singh Gill,18023,44,Raj Singh Toor,2467,6,N/A,N/A,N/A,N/A,N/A,N/A,Sukh Dhaliwal,Liberal
47013,Swift Current--Grasslands--Kindersley,William Caton,4420,11.2,Jeremy Patzer,32292,82,Alex McPhee,2250,5.7,N/A,N/A,N/A,N/A,N/A,N/A,Jeremy Patzer,Conservative
12011,Sydney--Glace Bay,Mike Kelloway,25766,54.6,Anna Manley,17978,38.1,Kimberly Losier,1789,3.8,N/A,N/A,N/A,N/A,N/A,N/A,Mike Kelloway,Liberal
35105,Taiaiako'n--Parkdale--High Park,Karim Bardeesy,36439,55.8,Wladyslaw Lizon,12662,19.4,Bhutila Karpoche,15003,23,Anna Gorka,700,1.1,N/A,N/A,N/A,Karim Bardeesy,Liberal
10007,Terra Nova--The Peninsulas,Anthony Germain,19704,48,Jonathan Rowe,19692,47.9,Liam Ryan,1677,4.1,N/A,N/A,N/A,N/A,N/A,N/A,Anthony Germain,Liberal
24073,Terrebonne,Tatiana Auguste,23352,38.7,Adrienne Charles,10961,18.2,Maxime Beaudoin,1556,2.6,Benjamin Rankin,630,1,Nathalie Sinclair-Desgagné,23351,38.7,Tatiana Auguste,Liberal
24074,Thérèse-De Blainville,Madeleine Chenette,29519,45.8,Julie Bergeron,12019,18.7,Michel Lacroix,1585,2.5,N/A,N/A,N/A,Marie-Noëlle Closson-Duquette,20828,32.3,Madeleine Chenette,Liberal
35106,Thornhill,Liane Kotler,20873,31.2,Melissa Lantsman,44419,66.4,William McCarty,833,1.2,Dominic Piotrowski,353,0.5,N/A,N/A,N/A,Melissa Lantsman,Conservative
35107,Thunder Bay--Rainy River,Marcus Powlowski,21125,48.5,Brendan Hyatt,18685,42.9,Yuk-Sem Won,2954,6.8,Eric Arner,334,0.8,N/A,N/A,N/A,Marcus Powlowski,Liberal
35108,Thunder Bay--Superior North,Patty Hajdu,25134,55.2,Bob Herman,16267,35.7,Joy Wakefield,3235,7.1,John Malcolm Northey,417,0.9,N/A,N/A,N/A,Patty Hajdu,Liberal
13010,Tobique--Mactaquac,Julian Moulton,14226,35.9,Richard Bragdon,23322,58.8,Michael John Winter,812,2,Liam MacDougall,806,2,N/A,N/A,N/A,Richard Bragdon,Conservative
35109,Toronto Centre,Evan Solomon,37907,64.3,Luis Ibarra,12321,20.9,Samantha Green,7358,12.5,Olivia Iheme,664,1.1,N/A,N/A,N/A,Evan Solomon,Liberal
35110,Toronto--Danforth,Julie Dabrusin,39191,66.6,Ashik Hussain,11187,19,Clare Hacksel,7626,13,Silvia Stardust,626,1.1,N/A,N/A,N/A,Julie Dabrusin,Liberal
35111,Toronto--St. Paul's,Leslie Church,44313,61.9,Don Stewart,23700,33.1,Bruce Levy,2496,3.5,Shane Philips,552,0.8,N/A,N/A,N/A,Leslie Church,Liberal
24075,Trois-Rivières,Caroline Desrochers,25147,41,Yves Levesque,16708,27.2,Matthew Sévigny,1437,2.3,David Turcotte,569,0.9,René Villemure,16921,27.6,Caroline Desrochers,Liberal
35112,University--Rosedale,Chrystia Freeland,39847,64,Liz Grade,14624,23.5,Serena Purdy,6168,9.9,Ignacio Mongrell,1066,1.7,N/A,N/A,N/A,Chrystia Freeland,Liberal
59035,Vancouver Centre,Hedy Fry,29855,55.2,Elaine Allan,16368,30.3,Avi Lewis,6807,12.6,Scott MacDonald,757,1.4,N/A,N/A,N/A,Hedy Fry,Liberal
59036,Vancouver East,Mark Wiens,20287,35.5,Lita Cabal,10162,17.8,Jenny Kwan,24945,43.6,Nikida Steel,1099,1.9,N/A,N/A,N/A,Jenny Kwan,NDP
59037,Vancouver Fraserview--South Burnaby,Gregor Robertson,27117,52.3,Avi Nayyar,18500,35.7,Manoj Bhangu,5088,9.8,Alexander Dow,658,1.3,N/A,N/A,N/A,Gregor Robertson,Liberal
59038,Vancouver Granville,Taleeb Noormohamed,37010,62.1,Marie Rogers,17133,28.8,Sukhi Singh Sahota,4489,7.5,Jerry Kroll,945,1.6,N/A,N/A,N/A,Taleeb Noormohamed,Liberal
59039,Vancouver Kingsway,Amy K. Gill,18485,36.6,Ravinder Bhatia,12352,24.5,Don Davies,18788,37.2,Imtiaz Popat,499,1,N/A,N/A,N/A,Don Davies,NDP
59040,Vancouver Quadra,Wade Grant,35384,63.2,Ken Charko,17008,30.4,Alim Fakirani,2391,4.3,Tom Digby,1032,1.8,N/A,N/A,N/A,Wade Grant,Liberal
24076,Vaudreuil,Peter Schiefke,40982,57.9,Thomas Barré,16179,22.8,Kalden Dhatsenpa,1602,2.3,Dave Hamelin-Schuilenburg,957,1.4,Christopher Massé,10571,14.9,Peter Schiefke,Liberal
35113,Vaughan--Woodbridge,Francesco Sorbara,25617,38,Michael Guglielmin,40422,60,Ali Bahman,891,1.3,N/A,N/A,N/A,N/A,N/A,N/A,Michael Guglielmin,Conservative
59041,Vernon--Lake Country--Monashee,Anna Warwick Sears,28769,42.8,Scott Anderson,33850,50.4,Leah Ellen Main,3417,5.1,Blair Visscher,1105,1.6,N/A,N/A,N/A,Scott Anderson,Conservative
59042,Victoria,Will Greaves,41128,54.3,Angus Ross,12870,17,Laurel Collins,18877,24.9,Michael Doherty,2350,3.1,N/A,N/A,N/A,Will Greaves,Liberal
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Marc Miller,30905,63.7,Steve Shanahan,9113,18.8,Suzanne Dufresne,2932,6,Nathe Perrone,996,2.1,Kevin Majaducon,4364,9,Marc Miller,Liberal
24078,Vimy,Annie Koutrakis,26531,53.4,Grace Daou,12278,24.7,Cindy Mercer,2342,4.7,N/A,N/A,N/A,Alicia Parenteau-Malakhanian,8526,17.2,Annie Koutrakis,Liberal
35114,Waterloo,Bardish Chagger,37579,59.5,Waseem Botros,20571,32.6,Héline Chow,2617,4.1,Simon Guthrie,1599,2.5,N/A,N/A,N/A,Bardish Chagger,Liberal
35115,Wellington--Halton Hills North,Sean Carscadden,29609,44.4,Michael Chong,33736,50.6,Andrew Bascombe,1346,2,Liam Stiles,1389,2.1,N/A,N/A,N/A,Michael Chong,Conservative
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Patrick Weiler,38384,59.7,Keith Roy,21181,33,Jäger Rosenberg,2070,3.2,Lauren Greenlaw,2205,3.4,N/A,N/A,N/A,Patrick Weiler,Liberal
35116,Whitby,Ryan Turnbull,35624,52.7,Steve Yamada,29620,43.8,Kevin Goswell,1638,2.4,Andrew Di Lullo,506,0.7,N/A,N/A,N/A,Ryan Turnbull,Liberal
35117,Willowdale,Ali Ehsassi,25488,53.4,James Lin,20977,44,Christy Kheirallah,1224,2.6,N/A,N/A,N/A,N/A,N/A,N/A,Ali Ehsassi,Liberal
35119,Windsor West,Richard Pollock,16986,30.9,Harb Gill,21412,39,Brian Masse,15256,27.8,Louay Ahmad,397,0.7,N/A,N/A,N/A,Harb Gill,Conservative
35118,Windsor--Tecumseh--Lakeshore,Irek Kusmierczyk,31985,45.7,Kathy Borrelli,32062,45.8,Alex Ilijoski,4241,6.1,Roxanne Tellier,470,0.7,N/A,N/A,N/A,Kathy Borrelli,Conservative
46010,Winnipeg Centre,Rahul Walia,12138,35.4,Tom Bambrick,7658,22.3,Leah Gazan,13524,39.4,Gary Gervais,389,1.1,N/A,N/A,N/A,Leah Gazan,NDP
46011,Winnipeg North,Kevin Lamoureux,19792,57.9,Rachel Punzalan,11740,34.4,Adebayo Akinrogunde,2059,6,Angela Brydges,194,0.6,N/A,N/A,N/A,Kevin Lamoureux,Liberal
46012,Winnipeg South,Terry Duguid,27337,59,Janice Morley-Lecomte,16252,35.1,Joanne Bjornson,2114,4.6,Manjit Kaur,231,0.5,N/A,N/A,N/A,Terry Duguid,Liberal
46013,Winnipeg South Centre,Ben Carr,33834,63.6,Royden Brousseau,14748,27.7,Jorge Requena Ramos,3463,6.5,Chris Petriew,450,0.8,N/A,N/A,N/A,Ben Carr,Liberal
46014,Winnipeg West,Doug Eyolfson,30276,54.5,Marty Morantz,22659,40.8,Avery Selby-Lyons,2218,4,Dennis Bayomi,438,0.8,N/A,N/A,N/A,Doug Eyolfson,Liberal
48037,Yellowhead,Michael Fark,17469,25.2,William Stevenson,47863,69.1,Avni Soma,2753,4,N/A,N/A,N/A,N/A,N/A,N/A,William Stevenson,Conservative
35120,York Centre,Ya'ara Saks,20318,42.7,Roman Baber,26110,54.8,Yusuf Ulukanligil,1191,2.5,N/A,N/A,N/A,N/A,N/A,N/A,Roman Baber,Conservative
35122,York South--Weston--Etobicoke,Ahmed Hussen,24663,55.3,Nicolas Pham,17746,39.8,Louise James,2190,4.9,N/A,N/A,N/A,N/A,N/A,N/A,Ahmed Hussen,Liberal
35121,York--Durham,Robert Grossi,28726,39.6,Jacob Mantle,40329,55.6,Justin Graham,1829,2.5,Matt Pearce,797,1.1,N/A,N/A,N/A,Jacob Mantle,Conservative
47014,Yorkton--Melville,Luke Guimond,5338,14.4,Cathay Wagantall,28702,77.5,Michaela Krakowetz,2034,5.5,Valerie Brooks,713,1.9,N/A,N/A,N/A,Cathay Wagantall,Conservative
60001,Yukon,Brendan Hanley,12009,53.1,Ryan Leef,8719,38.5,Katherine McCallum,1434,6.3,Gabrielle Dupont,474,2.1,N/A,N/A,N/A,Brendan Hanley,Liberal
